AAPL, AVB, AMD, CCC, BA, BLL, C, INTC, GPS, MMM, T, TJX
  3.303425, 16.156725, 14.468750,  5.003223, 28.217339,  2.062023,286.646057, 28.014212, 33.965874, 31.910448, 20.586180,  4.219981
  3.196992, 16.814844, 16.250000,  5.474652, 30.175095,  2.026018,277.959808, 27.907837, 34.381222, 33.499851, 18.633139,  4.194170
  3.227114, 16.578011, 20.187500,  5.420978, 29.962307,  2.202764,298.549500, 35.076260, 35.304199, 32.379116, 17.832607,  4.065120
  3.576534, 16.696419, 18.937500,  6.226073, 31.111425,  2.147121,290.506683, 33.332005, 33.319790, 30.952721, 18.257204,  3.561821
  3.265270, 16.459600, 17.625000,  6.333419, 30.387899,  1.885277,288.898102, 31.991924, 32.119907, 30.076517, 16.665005,  3.368243
  3.470102, 16.370785, 19.281250,  6.816478, 29.962307,  1.819817,281.820435, 35.650585, 38.165466, 29.037271, 17.832607,  3.781208
  3.494199, 16.222765, 22.750000,  6.494440, 27.153343,  1.692168,278.732208, 36.044266, 35.858006, 27.040335, 17.169205,  3.458579
  3.574527, 16.193157, 21.500000,  6.655458, 24.598598,  1.551427,265.505188, 35.874043, 31.750721, 28.548231, 16.240416,  3.129417
  3.546412, 16.104351, 20.250000,  5.904037, 25.837080,  1.479420,247.761871, 38.555027, 34.565823, 27.957298, 15.046268,  2.922514
  4.112713, 16.222765, 20.750000,  6.226073, 24.555901,  1.400866,275.828613, 40.597683, 33.613232, 29.368923, 19.345207,  3.504431
  4.040419, 16.311575, 26.000000,  6.440765, 22.121672,  1.497192,252.923584, 40.916843, 34.074951, 26.743774, 17.832607,  3.155280
  4.016321, 16.489199, 25.000000,  5.796690, 25.965204,  1.714368,294.217224, 44.214859, 34.305813, 28.179399, 19.424809,  3.931170
  4.456108, 16.933249, 27.000000,  5.259958, 24.598598,  1.684752,312.605774, 47.342674, 34.536678, 29.820120, 18.257204,  4.319113
  4.363732, 17.347706, 29.500000,  5.635670, 25.837080,  1.819664,309.057098, 44.917015, 36.799103, 29.061291, 17.885679,  4.590675
  4.233203, 18.008854, 37.750000,  5.367305, 24.385065,  1.895348,304.540619, 46.576679, 33.705578, 30.066231, 19.690176,  4.732922
  3.594608, 18.219309, 33.000000,  5.420978, 24.171556,  1.885474,299.378815, 37.618786, 28.719004, 29.799610, 18.197786,  4.086349
  3.819521, 18.189236, 39.125000,  5.743016, 27.374493,  1.734111,316.154358, 39.278461, 28.626646, 30.271320, 17.584080,  4.241524
  3.986199, 18.820601, 43.750000,  5.420978, 27.118252,  1.658428,304.540619, 43.172268, 27.149158, 28.425501, 18.704765,  3.969965
  3.634771, 19.301636, 46.000000,  5.625692, 26.990150,  1.661718,308.233215, 42.001995, 25.440788, 28.446011, 18.357893,  3.892375
  3.458053, 19.572229, 42.843750,  5.571599, 25.410011,  1.757145,311.467499, 39.160480, 26.664301, 27.851257, 19.145010,  3.737195
  3.020274, 19.421900, 41.906250,  6.004344, 25.331758,  1.681462,315.348694, 40.139503, 26.918301, 27.728191, 18.224463,  4.250874
  2.775278, 19.211447, 37.000000,  5.409318, 26.231865,  1.586037,301.440887, 40.033081, 25.486958, 27.742794, 18.197786,  4.289754
  2.974086, 19.181376, 45.062500,  5.950251, 27.346285,  1.622232,344.781311, 45.694344, 25.318163, 27.845987, 19.211735,  4.613752
